step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
800,31,950,17.59259259,5.069407995,12,872,0.077389762,12,872,FALSE,,
810,30,1032,19.11111111,5.255857815,14,1047,0.000187576,14,1047,FALSE,,
820,27,1071,20.20754717,4.015596618,12,1127,0,12,1127,FALSE,,
830,28,563,10.05357143,2.636159126,7,933,0.020068657,7,933,FALSE,,
840,17,493,8.355932203,5.741156971,5,693,0.100897813,5,693,FALSE,,
850,13,497,8.016129032,6.444492463,8,802,0.032244278,8,802,FALSE,,
860,12,572,9.694915254,5.81488767,9,643,0.099071386,9,643,FALSE,,
870,19,722,12.89285714,5.492003373,13,803,0.006462349,13,803,FALSE,,
880,19,829,13.81666667,6.070017721,15,1032,0.120850253,15,1032,FALSE,,
890,20,975,17.10526316,5.454990337,10,923,0.02534495,10,923,FALSE,,
900,21,1107,18.76271186,6.295908871,13,1081,0.021094266,13,1081,FALSE,,
910,25,1316,23.92727273,5.158707633,10,1129,0.060255777,10,1129,FALSE,,
920,23,1425,27.40384615,5.100696751,10,1203,0.022271258,10,1203,FALSE,,
930,21,406,8.12,4.347197051,7,569,0.012523678,7,569,FALSE,,
940,24,334,7.106382979,5.665502374,12,804,0.089594248,12,804,FALSE,,
950,28,557,11.60416667,5.759033256,11,676,0,11,676,FALSE,,
960,19,600,12.5,6.307503465,11,812,0.056004993,11,812,FALSE,,
970,20,509,10.3877551,5.476595587,10,818,0.12644997,10,818,FALSE,,
980,26,750,15,4.723907322,10,843,0.034897727,10,843,FALSE,,
990,31,1006,20.95833333,4.121064324,10,809,0.041623351,10,809,FALSE,,
1000,22,1061,21.22,4.606590771,10,932,0.05141855,10,932,FALSE,,
1010,31,1178,23.09803922,4.26021442,12,1113,4.87E-05,12,1113,FALSE,,
1020,32,1391,28.97916667,3.595889163,12,1231,0.122877806,12,1231,FALSE,,
1030,27,874,17.1372549,3.250622654,6,775,0.019481782,6,775,FALSE,,
1040,16,456,8.444444444,5.017836314,9,1106,0.003617204,9,1106,FALSE,,
1050,10,448,8,6.285763828,5,680,0.092649906,5,680,FALSE,,
1060,9,496,8.701754386,7.240075178,8,818,0.066311646,8,818,FALSE,,
1070,12,587,10.67272727,6.894818128,9,855,0.070062885,9,855,FALSE,,
1080,20,739,12.74137931,5.686505861,11,944,0.124843198,11,944,FALSE,,
1090,26,962,16.5862069,6.48448997,11,1014,0.024688163,11,1014,FALSE,,
1100,24,1084,18.06666667,6.409805018,9,1105,0.103513511,9,1105,FALSE,,
1110,23,1134,20.25,5.316082107,11,1128,0.010111865,11,1128,FALSE,,
1120,21,1268,22.64285714,5.30395166,13,1255,0.054438814,13,1255,FALSE,,
1130,23,752,12.96551724,5.731896849,8,831,0.075210248,8,831,FALSE,,
1140,31,1014,17.78947368,5.52013621,8,637,0.12026169,8,637,FALSE,,
1150,35,1338,23.47368421,5.449599949,8,706,0.085235225,8,706,FALSE,,
1160,33,1515,27.05357143,5.307012799,7,687,0,7,687,FALSE,,
1170,24,1432,28.64,5.340695966,6,788,0.138401998,6,788,FALSE,,
1180,22,1548,32.25,5.50938604,6,838,0.182955336,6,838,FALSE,,
1190,21,1734,34.68,5.750036075,7,845,0.070155592,7,845,FALSE,,
1200,24,1949,39.7755102,6.543996911,9,939,0.0675026,9,939,FALSE,,
1210,25,2185,43.7,6.590153531,9,1022,0.063201053,9,1022,FALSE,,
1220,24,2396,50.9787234,6.112882775,9,1084,0.068440461,9,1084,FALSE,,
1230,27,2648,58.84444444,4.868120141,10,1191,0.052607534,10,1191,FALSE,,
1240,29,2914,62,6.488258569,11,1306,0,11,1306,FALSE,,
1250,20,2280,53.02325581,4.96556725,11,1416,7.69E-07,11,1416,FALSE,,
1260,27,2506,55.68888889,4.418290875,12,1715,0.072082881,12,1715,FALSE,,
1270,30,2792,56.97959184,4.726022856,12,1835,0.009146214,12,1835,FALSE,,
1280,34,3102,59.65384615,5.150292226,13,1960,0.05825011,13,1960,FALSE,,
1290,33,3417,62.12727273,5.348016487,13,2077,0.002977765,13,2077,FALSE,,
1300,34,3728,65.40350877,4.951005147,13,2198,0.042688906,13,2198,FALSE,,
1310,40,4075,70.25862069,3.646496177,12,2320,0.004989994,12,2320,FALSE,,
1320,39,4412,74.77966102,4.491006993,12,2435,0,12,2435,FALSE,,
1330,44,4816,83.03448276,2.238059184,12,2555,0.058325768,12,2555,FALSE,,
1340,34,4444,76.62068966,3.438272533,12,2821,0.022440997,12,2821,FALSE,,
1350,45,4822,79.04918033,3.61420729,12,2795,0.02840108,12,2795,FALSE,,
1360,45,5266,83.58730159,3.673801255,12,2915,0.074810728,12,2915,FALSE,,
1370,48,5722,90.82539683,2.581430248,12,3035,0.013127709,12,3035,FALSE,,
1380,48,6199,96.859375,3.912157148,12,3155,0.066318369,12,3155,FALSE,,
1390,48,6679,101.1969697,3.930689181,12,3275,0.01485273,12,3275,FALSE,,
1400,52,7178,107.1343284,2.972994994,14,3406,0.03022918,14,3406,FALSE,,
1410,54,7673,111.2028986,2.941211191,14,3524,0.040708637,14,3524,FALSE,,
1420,52,8180,112.0547945,4.250670502,12,3635,0,12,3635,FALSE,,
1430,52,8700,120.8333333,4.008079375,12,3755,0.032210868,12,3755,FALSE,,
1440,47,6403,83.15584416,3.655132265,9,2701,0.034019936,9,2701,FALSE,,
1450,29,2396,28.86746988,5.401694665,11,2327,0.045239382,11,2327,FALSE,,
1460,37,1283,15.45783133,5.112563045,12,1722,0.075278539,12,1722,FALSE,,
1470,47,1668,19.85714286,4.156305061,12,2015,0.062834572,12,2015,FALSE,,
1480,52,2155,26.2804878,3.519418125,12,2433,0.052825424,12,2433,FALSE,,
1490,40,1634,21.22077922,3.751816117,9,2082,0.037248011,9,2082,FALSE,,
1500,34,1459,19.71621622,4.00979329,12,1979,0.039153515,12,1979,FALSE,,
1510,42,1554,21.88732394,4.034835679,13,2152,0.051325975,13,2152,FALSE,,
1520,38,1662,24.44117647,3.549307529,11,1838,0.020802725,11,1838,FALSE,,
1530,45,2010,30.45454545,3.126358187,13,1885,0.040180654,13,1885,FALSE,,
1540,37,1566,23.72727273,4.378081891,10,1158,0.041968136,10,1158,FALSE,,
1550,32,1413,21.08955224,4.807443344,13,1355,0.095790742,13,1355,FALSE,,
1560,37,1737,25.17391304,5.343566248,11,1124,0.013128934,11,1124,FALSE,,
1570,39,2106,31.43283582,4.931123282,11,1229,0.030332965,11,1229,FALSE,,
