step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
390,41,780,7.222222222,6.099924271,41,2475,0.342227035,41,2475,FALSE,,
395,34,861,8.046728972,6.050414187,34,2344,0.365093882,34,2344,FALSE,,
400,32,880,8,6.286230698,32,2282,0.376026282,32,2282,FALSE,,
405,31,856,7.781818182,6.469717994,31,1997,0.391167927,31,1997,FALSE,,
410,29,922,8.61682243,6.652131118,29,2112,0.410588851,29,2112,FALSE,,
415,25,922,8.381818182,6.673099763,25,2061,0.413353667,25,2061,FALSE,,
420,26,893,7.973214286,6.852810835,26,2078,0.4394791,26,2078,FALSE,,
425,22,967,8.871559633,7.021762146,22,2087,0.462714815,22,2087,FALSE,,
430,27,1090,10,6.43479964,27,2203,0.398699083,27,2203,FALSE,,
435,31,1209,10.89189189,6.124184168,31,2318,0.361212405,31,2318,FALSE,,
440,32,1358,12.125,6.402406398,32,2453,0.357379542,32,2453,FALSE,,
445,34,1471,12.79130435,6.531323429,33,2502,0.360641643,33,2502,FALSE,,
450,32,1611,14.38392857,6.332689837,32,2630,0.371140436,32,2630,FALSE,,
455,33,1723,15.80733945,6.068508548,33,2793,0.330635959,33,2793,FALSE,,
460,35,1747,15.73873874,5.923604072,35,2956,0.339234527,35,2956,FALSE,,
465,36,1354,12.1981982,5.978580389,36,2574,0.35595156,36,2574,FALSE,,
470,24,936,8.432432432,6.510380658,24,2516,0.404602303,24,2516,FALSE,,
475,24,906,8.017699115,6.389100747,24,2630,0.383045168,24,2630,FALSE,,
480,25,945,8.362831858,6.025964981,25,2553,0.371072065,25,2553,FALSE,,
485,24,968,8.566371681,6.373982947,24,2485,0.411541321,24,2485,FALSE,,
490,27,1057,9.191304348,6.6015986,27,2449,0.459369931,27,2449,FALSE,,
495,36,1202,10.36206897,5.566364476,36,2603,0.34172232,36,2603,FALSE,,
500,34,1230,10.33613445,5.603322907,34,2636,0.341967556,34,2636,FALSE,,
505,33,1035,8.414634146,6.164851705,33,2509,0.403620764,33,2509,FALSE,,
510,40,1217,9.894308943,5.894935953,40,2599,0.38393548,40,2599,FALSE,,
515,45,1409,11.36290323,5.917449765,45,2784,0.349231472,45,2784,FALSE,,
520,42,1347,10.776,5.786597618,42,2674,0.348532036,42,2674,FALSE,,
525,49,1546,12.368,5.52990034,49,2893,0.338042309,49,2893,FALSE,,
530,52,1792,14.22222222,5.67072497,52,3124,0.329143348,52,3124,FALSE,,
535,49,2007,15.92857143,5.824578132,49,3171,0.328893725,49,3171,FALSE,,
540,38,1703,13.624,6.097396894,38,3321,0.346307457,38,3321,FALSE,,
545,39,1748,13.984,5.400187903,39,3272,0.297490692,39,3272,FALSE,,
550,32,1299,10.392,6.023233537,32,3007,0.331616907,32,3007,FALSE,,
555,22,838,6.704,6.638758199,22,2724,0.391488216,22,2724,FALSE,,
560,18,612,4.975609756,6.953902167,18,2780,0.407837192,18,2780,FALSE,,
565,30,710,5.819672131,6.502006359,30,2792,0.382426042,30,2792,FALSE,,
570,41,884,7.305785124,5.52380749,41,2965,0.33924784,41,2965,FALSE,,
575,40,943,7.729508197,5.712099035,40,3022,0.347367184,40,3022,FALSE,,
580,37,1021,8.368852459,5.535764266,37,2970,0.337138094,37,2970,FALSE,,
585,36,1085,8.611111111,6.043237627,36,2982,0.365648499,36,2982,FALSE,,
590,31,841,6.5703125,6.444629249,31,2866,0.428592719,31,2866,FALSE,,
595,40,709,5.453846154,6.214108815,40,3037,0.368436468,40,3037,FALSE,,
600,51,936,7.255813953,6.063207942,51,3265,0.353675602,51,3265,FALSE,,
605,40,812,6.198473282,6.119580663,40,3220,0.350828485,40,3220,FALSE,,
610,39,720,5.413533835,6.295863981,39,3093,0.372863838,39,3093,FALSE,,
615,43,836,6.430769231,5.967775946,43,3130,0.355983942,43,3130,FALSE,,
620,48,1042,8.140625,6.142707594,48,3286,0.370026096,48,3286,FALSE,,
625,49,1266,9.664122137,6.24449713,49,3516,0.357842405,49,3516,FALSE,,
630,40,1367,10.59689922,6.557475767,40,3585,0.388848902,40,3585,FALSE,,
635,39,1383,10.63846154,6.755820593,39,3641,0.405472795,39,3641,FALSE,,
640,32,752,5.784615385,6.580254705,32,3229,0.371215279,32,3229,FALSE,,
645,22,383,3.03968254,6.933589293,22,3184,0.373726249,22,3184,FALSE,,
650,11,183,1.464,7.26067973,11,2652,0.412463155,11,2652,FALSE,,
655,16,152,1.235772358,7.387571699,16,2217,0.449004809,16,2217,FALSE,,
660,17,226,1.837398374,7.737074805,17,1843,0.475388903,17,1843,FALSE,,
665,20,317,2.619834711,7.863285176,20,1740,0.477803252,20,1740,FALSE,,
670,26,344,2.94017094,7.298866104,26,1828,0.452902678,26,1828,FALSE,,
675,29,445,3.869565217,6.933425735,29,1958,0.418008608,29,1958,FALSE,,
680,24,433,3.732758621,6.394866948,24,1881,0.3772475,24,1881,FALSE,,
685,30,475,4.05982906,6.190652653,30,1996,0.373043261,30,1996,FALSE,,
690,28,547,4.756521739,6.159268477,28,2092,0.393593743,28,2092,FALSE,,
695,27,604,5.033333333,6.149667735,27,2052,0.384798755,27,2052,FALSE,,
700,35,710,5.819672131,6.399269931,35,2101,0.389955826,35,2101,FALSE,,
705,29,794,6.561983471,6.655438389,29,2238,0.398569099,29,2238,FALSE,,
