step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
385,33,1587,14.16964286,6.236685099,33,3365,0.412512239,33,3365,FALSE,,
390,32,1608,14.2300885,6.226234553,32,3495,0.403882025,32,3495,FALSE,,
395,32,1697,15.28828829,6.33903813,32,3601,0.394949324,32,3601,FALSE,,
400,37,1615,14.2920354,5.964189094,37,3429,0.370100426,37,3429,FALSE,,
405,39,1449,12.71052632,6.129287308,39,3590,0.366620021,39,3590,FALSE,,
410,41,1622,14.10434783,6.091840474,41,3744,0.370980938,41,3744,FALSE,,
415,38,1700,14.9122807,6.15022301,38,3732,0.3794607,38,3732,FALSE,,
420,27,926,8.267857143,6.366418386,27,3454,0.409374201,27,3454,FALSE,,
425,31,636,5.530434783,6.247071733,31,3583,0.381092828,31,3583,FALSE,,
430,41,813,6.948717949,6.182041847,41,3757,0.375470253,41,3757,FALSE,,
435,42,1020,9.189189189,6.439398316,42,3961,0.395542794,42,3961,FALSE,,
440,42,1029,9.1875,6.192869163,42,4025,0.404291762,42,4025,FALSE,,
445,34,793,7.080357143,6.853756284,34,3614,0.456243912,34,3614,FALSE,,
450,30,574,5.41509434,6.538065776,30,3433,0.423343154,30,3433,FALSE,,
455,26,568,5.358490566,6.559011383,26,3553,0.403272011,26,3553,FALSE,,
460,31,587,5.435185185,7.002885076,31,3648,0.414282349,31,3648,FALSE,,
465,35,707,6.546296296,7.011437454,35,3612,0.406738392,35,3612,FALSE,,
470,34,855,8.066037736,7.033834787,34,3716,0.435745737,34,3716,FALSE,,
475,34,966,9.470588235,6.872278941,34,3713,0.397582801,34,3713,FALSE,,
480,28,890,8.98989899,7.094006382,28,3683,0.450710503,28,3683,FALSE,,
485,29,978,10.29473684,6.857167002,29,3804,0.45628741,29,3804,FALSE,,
490,37,1131,11.90526316,6.542032351,37,3943,0.401671148,37,3943,FALSE,,
495,36,1277,13.16494845,6.359311991,36,4079,0.389329892,36,4079,FALSE,,
