step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
790,35,1722,31.88888889,2.412739057,12,2382,0.012555989,12,2382,FALSE,,
800,32,578,9.633333333,3.716651433,8,1997,0.030978403,8,1997,FALSE,,
810,26,411,6.629032258,4.650655014,12,2148,0.01842106,12,2148,FALSE,,
820,14,365,5.887096774,4.352732281,10,1260,0.077328879,10,1260,FALSE,,
830,28,579,8.514705882,4.147050147,10,981,0.095363615,10,981,FALSE,,
840,31,296,4.289855072,4.094294148,9,1121,0.068097404,9,1121,FALSE,,
850,31,330,4.647887324,4.303345491,15,1138,0.000129368,15,1138,FALSE,,
860,31,282,4.028571429,3.925584148,8,1016,0.083460577,8,1016,FALSE,,
870,24,370,5.362318841,5.858321612,12,1268,0.09073127,12,1268,FALSE,,
880,39,657,9.661764706,4.602396625,12,1348,0.020223249,12,1348,FALSE,,
890,38,498,7.432835821,4.438874875,8,1405,0.025002489,8,1405,FALSE,,
900,36,557,8.191176471,4.316315411,11,1148,0.131124176,11,1148,FALSE,,
910,27,368,5.333333333,4.396789293,11,1042,0.024048785,11,1042,FALSE,,
920,29,357,5.328358209,5.150174832,11,1054,0.004587631,11,1054,FALSE,,
930,24,209,3.370967742,4.68051492,6,1035,0.019488849,6,1035,FALSE,,
940,21,201,3.526315789,5.268414777,9,1121,0.045346088,9,1121,FALSE,,
950,21,331,6.018181818,5.154188365,7,1032,0.119618276,7,1032,FALSE,,
960,27,571,10.01754386,5.828988225,8,1159,0.050974387,8,1159,FALSE,,
970,38,725,12.5,3.513096432,11,1259,0.00229309,11,1259,FALSE,,
980,41,746,12.6440678,2.236982722,13,1387,0,13,1387,FALSE,,
990,34,756,12.81355932,3.71520234,9,881,0.100145031,9,881,FALSE,,
1000,23,658,10.78688525,4.262677792,10,878,0.070304704,10,878,FALSE,,
1010,24,558,9,3.074177311,9,821,0.03982794,9,821,FALSE,,
1020,30,782,12.41269841,3.459822229,9,770,0.098457846,9,770,FALSE,,
1030,35,1107,17.296875,4.140827527,9,934,0.039421265,9,934,FALSE,,
1040,18,798,12.46875,5.469986702,10,1093,0.076224018,10,1093,FALSE,,
1050,31,1041,16.79032258,4.948270665,10,1104,0.066368141,10,1104,FALSE,,
1060,29,362,5.746031746,3.677490487,9,467,0.017757778,9,467,FALSE,,
1070,23,289,4.378787879,4.855980078,11,817,0.092295829,11,817,FALSE,,
1080,21,396,5.577464789,4.096949347,9,571,0.009612861,9,571,FALSE,,
1090,20,548,7.942028986,5.114043593,12,950,0.094401569,12,950,FALSE,,
1100,18,515,7.357142857,5.20321916,6,603,0.042798835,6,603,FALSE,,
1110,20,666,9.652173913,5.443388407,8,652,0.037253448,8,652,FALSE,,
1120,27,894,13.34328358,5.557006772,8,705,0.145942531,8,705,FALSE,,
1130,37,1203,18.22727273,4.807497529,8,776,0.081255332,8,776,FALSE,,
1140,38,1560,23.28358209,5.128337355,8,852,0.069692528,8,852,FALSE,,
1150,28,644,10.0625,3.457286407,8,880,0.057866641,8,880,FALSE,,
1160,27,310,4.626865672,5.563746276,8,752,0.030827509,8,752,FALSE,,
1170,31,571,9.360655738,5.187136162,8,830,0.040714374,8,830,FALSE,,
1180,36,908,15.92982456,4.536221079,10,728,0.033696852,10,728,FALSE,,
1190,28,806,14.14035088,4.057801044,11,909,0.02250572,11,909,FALSE,,
1200,28,949,16.64912281,5.51001219,9,964,0.078635549,9,964,FALSE,,
1210,37,1281,22.875,3.807870481,10,1137,0,10,1137,FALSE,,
1220,43,1683,30.6,2.596378252,11,1241,0,11,1241,FALSE,,
1230,40,1929,34.44642857,2.461878495,10,1341,0.041260819,10,1341,FALSE,,
1240,36,2075,35.16949153,3.483872848,10,1437,0,10,1437,FALSE,,
1250,45,2480,42.03389831,2.678523383,10,1537,0,10,1537,FALSE,,
1260,51,2947,47.53225806,2.197271205,10,1637,0,10,1637,FALSE,,
1270,37,1960,30.15384615,2.895685891,3,957,0.044550372,3,957,FALSE,,
1280,19,367,5.242857143,3.980566475,6,957,0.062107965,6,957,FALSE,,
1290,20,378,4.973684211,5.619755385,5,866,0.058573117,5,866,FALSE,,
