step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
380,73,2172,10.49275362,5.009844477,73,7805,0.262742995,73,7805,FALSE,,
385,77,2197,10.66504854,4.984062548,77,8095,0.283685213,77,8095,FALSE,,
390,80,2316,11.46534653,4.605069711,80,8114,0.268224503,80,8114,FALSE,,
395,70,1773,8.606796117,5.214631475,70,8181,0.303649318,70,8181,FALSE,,
400,83,1331,6.461165049,4.826271569,83,8553,0.278216534,83,8553,FALSE,,
405,75,1063,5.160194175,4.547519592,75,8835,0.249069405,75,8835,FALSE,,
410,70,1211,5.766666667,5.014195396,70,8977,0.278672024,70,8977,FALSE,,
415,77,1443,6.806603774,4.943179814,77,9307,0.285280112,77,9307,FALSE,,
420,88,1716,7.981395349,4.873141112,88,9688,0.268855891,88,9688,FALSE,,
425,90,2020,9.439252336,4.486423631,90,10066,0.237123059,90,10066,FALSE,,
430,95,2395,11.13953488,4.472555955,95,10479,0.234142064,95,10479,FALSE,,
435,81,2438,11.28703704,4.747644451,81,9920,0.260573538,81,9920,FALSE,,
440,76,2150,9.907834101,4.744942008,76,10220,0.255099253,76,10220,FALSE,,
445,78,2098,9.668202765,4.518445771,78,10427,0.250627636,78,10427,FALSE,,
450,81,1921,8.893518519,4.584964184,81,10489,0.267502055,81,10489,FALSE,,
455,92,2008,9.296296296,4.352954948,92,10701,0.251069871,92,10701,FALSE,,
460,91,1847,8.395454545,4.219450808,91,10454,0.216901766,91,10454,FALSE,,
465,101,1946,8.845454545,3.89478947,101,10551,0.223883487,101,10551,FALSE,,
470,95,2063,9.292792793,4.237512599,95,10776,0.244124518,95,10776,FALSE,,
475,101,2334,10.37333333,4.118866728,101,11244,0.230782,101,11244,FALSE,,
480,103,2524,11.11894273,4.236631195,103,11504,0.241681859,103,11504,FALSE,,
485,105,2812,12.33333333,4.071447199,105,11569,0.228869906,105,11569,FALSE,,
490,99,3061,13.4254386,4.235636792,99,11856,0.237711761,99,11856,FALSE,,
495,98,3209,13.95217391,4.34494146,98,12264,0.246600384,98,12264,FALSE,,
500,100,3505,15.04291845,4.356358762,100,12221,0.24944645,100,12221,FALSE,,
505,95,3711,15.99568966,4.427445177,95,11974,0.258559879,95,11974,FALSE,,
510,98,3831,16.30212766,4.073074244,98,12176,0.21733131,98,12176,FALSE,,
515,97,4126,17.4092827,4.120426522,97,12166,0.218494905,97,12166,FALSE,,
520,101,4505,18.61570248,4.474565565,101,11908,0.236118704,101,11908,FALSE,,
525,107,4813,19.64489796,4.480166803,107,12066,0.240658313,107,12066,FALSE,,
530,116,5298,21.36290323,4.305508135,116,12466,0.236702505,116,12466,FALSE,,
535,116,5607,23.16942149,4.387373037,116,12997,0.247785477,116,12997,FALSE,,
540,104,5070,20.95041322,4.314500971,104,13051,0.24996819,104,13051,FALSE,,
545,98,3969,16.13414634,4.265336116,98,12890,0.229194263,98,12890,FALSE,,
550,101,3308,13.44715447,4.254306241,101,13339,0.233313558,101,13339,FALSE,,
555,108,3412,13.75806452,4.237581349,108,13768,0.231315365,108,13768,FALSE,,
560,107,3528,14,4.107026749,107,14029,0.222575877,107,14029,FALSE,,
565,104,3716,14.74603175,4.259991006,104,14404,0.2335686,104,14404,FALSE,,
